CRAFTABLE PLANS LIST	Y/N	QUALITY	TYPE	STATION	CATEGORY	STYLE	RELEASE	NOTES
Dark Elf Wardrobe, Scaled		Superior	Blueprint	Woodworking	Suite	Dark Elf	Homestead	
Dark Elf Wine Rack, Sturdy		Superior	Blueprint	Woodworking	Hearth	Dark Elf	Homestead	
Deadlands Archway		Epic	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Archway, Large		Superior	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Armoire, Etched		Epic	Blueprint	Woodworking	Suite	Deadlands	Deadlands	
Deadlands Bench, Etched Wide		Superior	Diagram	Blacksmithing	Dining	Deadlands	Deadlands	
Deadlands Bookcase, Ashen		Superior	Blueprint	Woodworking	Library	Deadlands	Blackwood	
Deadlands Bookcase, Etched		Superior	Blueprint	Woodworking	Library	Deadlands	Deadlands	
Deadlands Bookcase, Large Ashen		Epic	Blueprint	Woodworking	Library	Deadlands	Deadlands	
Deadlands Bookcase, Large Cluttered		Epic	Blueprint	Woodworking	Library	Deadlands	Deadlands	
Deadlands Brazier, Bladed		Superior	Diagram	Blacksmithing	Lighting	Deadlands	Blackwood	
Deadlands Brazier, Bladed Cage		Epic	Diagram	Blacksmithing	Lighting	Deadlands	Blackwood	
Deadlands Brazier, Bladed Pillar		Epic	Diagram	Blacksmithing	Lighting	Deadlands	Blackwood	
Deadlands Brazier, Bladed Tall		Epic	Diagram	Blacksmithing	Lighting	Deadlands	Blackwood	
Deadlands Brazier, Large Etched		Epic	Diagram	Blacksmithing	Lighting	Deadlands	Deadlands	
Deadlands Candelabra, Tall		Epic	Diagram	Blacksmithing	Lighting	Deadlands	Deadlands	
Deadlands Candelabra, Tall Caged		Epic	Diagram	Blacksmithing	Lighting	Deadlands	Deadlands	
Deadlands Candleholder, Etched		Epic	Diagram	Blacksmithing	Lighting	Deadlands	Deadlands	
Deadlands Carpet, Large		Epic	Pattern	Clothing	Parlor	Deadlands	Deadlands	
Deadlands Ceiling		Superior	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Chair, Ashen		Superior	Blueprint	Woodworking	Dining	Deadlands	Blackwood	
Deadlands Chair, Etched		Superior	Diagram	Blacksmithing	Dining	Deadlands	Deadlands	
Deadlands Column, Heavy		Superior	Praxis	Enchanting	Courtyard	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Column, Heavy Roofed		Superior	Praxis	Enchanting	Courtyard	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Column, Slender		Superior	Praxis	Enchanting	Courtyard	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Crystal Brazier		Superior	Diagram	Blacksmithing	Lighting	Deadlands	Deadlands	
Deadlands Curtains, Closed		Superior	Pattern	Clothing	Parlor	Deadlands	Deadlands	
Deadlands Curtains, Open		Superior	Pattern	Clothing	Parlor	Deadlands	Deadlands	
Deadlands Door		Epic	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Floor, Large Square		Superior	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Gems, Levitating		Epic	Formula	Alchemy	Undercroft	Deadlands	Deadlands	
Deadlands Lightning Rod, Crescent		Epic	Praxis	Enchanting	Courtyard	Deadlands	Deadlands	
Deadlands Lightning Rod, Spike		Epic	Praxis	Enchanting	Courtyard	Deadlands	Deadlands	
Deadlands Portcullis		Superior	Diagram	Blacksmithing	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Post, Short Wall		Fine	Praxis	Enchanting	Courtyard	Deadlands	Deadlands	
Deadlands Puzzle Cube		Legendary	Praxis	Enchanting	Undercroft	Deadlands	Ascending Tide	Master Writ Furnishing
Deadlands Rug		Superior	Pattern	Clothing	Parlor	Deadlands	Deadlands	
Deadlands Rug, Small		Superior	Pattern	Clothing	Parlor	Deadlands	Deadlands	
Deadlands Sconce, Large		Superior	Diagram	Blacksmithing	Lighting	Deadlands	Deadlands	
Deadlands Stairway		Fine	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Stairway, Inner Corner		Fine	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Stairway, Outer Corner		Fine	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Stairway, Wide		Superior	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Table, Ashen		Superior	Blueprint	Woodworking	Dining	Deadlands	Blackwood	
Deadlands Table, Ashen Wide		Superior	Blueprint	Woodworking	Dining	Deadlands	Blackwood	
Deadlands Table, Etched		Superior	Blueprint	Woodworking	Dining	Deadlands	Deadlands	
Deadlands Table, Long Etched		Epic	Blueprint	Woodworking	Dining	Deadlands	Deadlands	
Deadlands Tapestry		Superior	Pattern	Clothing	Parlor	Deadlands	Deadlands	
Deadlands Tapestry, Long		Superior	Pattern	Clothing	Parlor	Deadlands	Deadlands	
Deadlands Tapestry, Mehrunes Dagon		Legendary	Pattern	Clothing	Parlor	Deadlands	Ascending Tide	Master Writ Furnishing
Deadlands Tenderizer		Superior	Diagram	Blacksmithing	Undercroft	Deadlands	Deadlands	
Deadlands Throne		Legendary	Diagram	Blacksmithing	Gallery	Deadlands	Ascending Tide	Master Writ Furnishing
Deadlands Torture Rack		Legendary	Diagram	Blacksmithing	Undercroft	Deadlands	Waking Flame	Master Writ Furnishing
Deadlands Torture Table, Etched		Superior	Diagram	Blacksmithing	Undercroft	Deadlands	Deadlands	
Deadlands Urn, Inscribed		Superior	Diagram	Blacksmithing	Undercroft	Deadlands	Blackwood	
Deadlands Wall Spikes		Fine	Diagram	Blacksmithing	Lighting	Deadlands	Deadlands	
Deadlands Wall, Short		Fine	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Wall, Short Curved		Fine	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Wall, Tall		Superior	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Wall, Wide		Epic	Praxis	Enchanting	Structures	Deadlands	Deadlands	Farm Daedric Portals In The Deadlands
Deadlands Wardrobe, Ashen		Superior	Blueprint	Woodworking	Suite	Deadlands	Blackwood	
Desk, Engraved		Superior	Blueprint	Woodworking	Library	Miscellaneous	Homestead	
Display Case, Large		Epic	Blueprint	Woodworking	Gallery	Alinor	Summerset	
Display Case, Specimen		Epic	Blueprint	Woodworking	Gallery	Alinor	Summerset	
Display Case, Standing		Epic	Blueprint	Woodworking	Gallery	Alinor	Summerset	
Display Case, Standing Arched		Epic	Blueprint	Woodworking	Gallery	Alinor	Summerset	
Dragonfruit, Wax		Fine	Design	Provisioning	Hearth	Murkmire	Murkmire	
Dres Bowl, Dinner		Fine	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Bowl, Empty		Superior	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Bowl, Saltrice Mash		Superior	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Bowl, Serving		Fine	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Candles, Meditation		Superior	Design	Provisioning	Lighting	Dres	Morrowind / Clockwork	
Dres Cannister, Portable		Fine	Diagram	Blacksmithing	Hearth	Dres	Morrowind / Clockwork	
Dres Carpet, Chains		Fine	Pattern	Clothing	Parlor	Dres	Morrowind / Clockwork	
Dres Carpet, Fertile Peat		Superior	Pattern	Clothing	Parlor	Dres	Morrowind / Clockwork	
Dres Cauldron, Floral Banded		Superior	Diagram	Blacksmithing	Hearth	Dres	Morrowind / Clockwork	
Dres Censer, Chains		Superior	Formula	Alchemy	Undercroft	Dres	Morrowind / Clockwork	
Dres Cup, Empty Greef		Superior	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Cup, Empty Mazte		Fine	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Cup, Empty Sujamma		Epic	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Cup, Greef		Superior	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Cup, Mazte		Fine	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Cup, Sujamma		Epic	Design	Provisioning	Hearth	Dres	Morrowind / Clockwork	
Dres Divider, Chains		Epic	Blueprint	Woodworking	Suite	Dres	Morrowind / Clockwork	
Dres Divider, Honeycomb		Epic	Blueprint	Woodworking	Suite	Dres	Morrowind / Clockwork	
Dres Divider, Screen		Epic	Blueprint	Woodworking	Suite	Dres	Morrowind / Clockwork	
Dres Incense Stand, Chains		Epic	Formula	Alchemy	Undercroft	Dres	Morrowind / Clockwork	
Dres Jar, Stoneflower		Superior	Praxis	Enchanting	Hearth	Dres	Morrowind / Clockwork	
Dres Lamp, Portable		Fine	Formula	Alchemy	Lighting	Dres	Morrowind / Clockwork	
Dres Lantern, Stationary		Fine	Formula	Alchemy	Lighting	Dres	Morrowind / Clockwork	
Dres Pot, Sauce		Fine	Diagram	Blacksmithing	Hearth	Dres	Morrowind / Clockwork	
Dres Rug, Chains		Epic	Pattern	Clothing	Parlor	Dres	Morrowind / Clockwork	
Dres Runner, Chains		Epic	Pattern	Clothing	Parlor	Dres	Morrowind / Clockwork	
Dres Sewing Kit, Master's		Legendary	Pattern	Clothing	Workshop	Dres	Morrowind / Clockwork	Master Writ Furnishing
Dres Shelf, Block		Fine	Blueprint	Woodworking	Library	Dres	Morrowind / Clockwork	
Dres Sideboard, Display		Superior	Blueprint	Woodworking	Hearth	Dres	Morrowind / Clockwork	
Dres Table, Kitchen		Superior	Blueprint	Woodworking	Dining	Dres	Morrowind / Clockwork	
Dres Tapestry, Vines		Superior	Pattern	Clothing	Parlor	Dres	Morrowind / Clockwork	
Dres Teapot, Ceramic		Superior	Praxis	Enchanting	Hearth	Dres	Morrowind / Clockwork	
Dres Trestle, Corridor		Superior	Blueprint	Woodworking	Dining	Dres	Morrowind / Clockwork	
Drumstick		Superior	Design	Provisioning	Hearth	Plain Food	Homestead	
Dwarven Altar, Stairs		Epic	Praxis	Enchanting	Structures	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Amphora, Ornate Polished		Epic	DIagram	Blacksmithing	Undercroft	Dwarven	Markarth	
Dwarven Amphora, Sealed		Superior	Praxis	Enchanting	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Basin, Forged		Superior	Praxis	Enchanting	Undercroft	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Bed, Reach Furs		Superior	Pattern	Clothing	Suite	Dwarven	Markarth	
Dwarven Bed, Reach Furs Canopy		Epic	Pattern	Clothing	Suite	Dwarven	Markarth	
Dwarven Bed, Reach Furs Double		Epic	Pattern	Clothing	Suite	Dwarven	Markarth	
Dwarven Bench, Forged		Superior	Diagram	Blacksmithing	Dining	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Bench, Ornate Granite		Superior	Praxis	Enchanting	Dining	Dwarven	Markarth	
Dwarven Boiler, Central		Epic	Diagram	Blacksmithing	Structures	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Bookcase, Full		Epic	Praxis	Enchanting	Library	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Bookcase, Granite		Superior	Praxis	Enchanting	Library	Dwarven	Markarth	
Dwarven Bookcase, Granite Filled		Epic	Praxis	Enchanting	Library	Dwarven	Markarth	
Dwarven Bowl, Forged		Superior	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Bowl, Forged Serving		Superior	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Brazier, Square Polished		Epic	DIagram	Blacksmithing	Lighting	Dwarven	Markarth	
Dwarven Cage, Polished Specimen		Superior	Sketch	Jewelry	Workshop	Dwarven	Markarth	
Dwarven Candles, Cup		Superior	Design	Provisioning	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Candles, Plate		Superior	Design	Provisioning	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Candlestick, Laboratory		Epic	Design	Provisioning	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Candlestick, Orrery		Epic	Design	Provisioning	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Candlestick, Polished		Fine	DIagram	Blacksmithing	Lighting	Dwarven	Markarth	
Dwarven Cannister, Sealed		Fine	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Chair, Ornate Polished		Superior	DIagram	Blacksmithing	Dining	Dwarven	Markarth	
Dwarven Chandelier, Barred		Epic	Diagram	Blacksmithing	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Chandelier, Braced		Epic	Diagram	Blacksmithing	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Chandelier, Caged		Epic	Diagram	Blacksmithing	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Chandelier, Framework		Superior	Diagram	Blacksmithing	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Cooking Implements, Hanging		Superior	DIagram	Blacksmithing	Hearth	Dwarven	Markarth	
Dwarven Corner Bench, Ornate Polished		Epic	DIagram	Blacksmithing	Dining	Dwarven	Markarth	
Dwarven Corner Shelf, Granite		Fine	Praxis	Enchanting	Library	Dwarven	Markarth	
Dwarven Counter, Granite		Epic	Praxis	Enchanting	Dining	Dwarven	Markarth	
Dwarven Crystal Sconce, Mirror		Legendary	Sketch	Jewelry	Lighting	Dwarven	Flames of Ambition	Master Writ Furnishing
Dwarven Desk, Ornate Polished		Epic	DIagram	Blacksmithing	Hearth	Dwarven	Markarth	
Dwarven Dinner Bowl, Hearty Stew		Superior	Design	Provisioning	Hearth	Dwarven	Markarth	
Dwarven Divider, Ornate Granite		Superior	Praxis	Enchanting	Suite	Dwarven	Markarth	
Dwarven Divider, Ornate Polished		Epic	DIagram	Blacksmithing	Suite	Dwarven	Markarth	
Dwarven Dresser, Granite		Superior	Praxis	Enchanting	Suite	Dwarven	Markarth	
Dwarven End Table, Columnar Granite		Superior	Praxis	Enchanting	Dining	Dwarven	Markarth	
Dwarven Engine, Boiler		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Engine, Fan		Epic	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Engine, Switch		Epic	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Engine, Turbine		Epic	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Goblet, Forged		Superior	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Gyroscope, Masterwork		Legendary	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Master Writ Furnishing
Dwarven Jar, Sealed		Superior	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Jug, Sealed		Superior	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Kettle, Ornate Polished		Epic	DIagram	Blacksmithing	Hearth	Dwarven	Markarth	
Dwarven Lamp, Conal Frustum Cage		Epic	DIagram	Blacksmithing	Lighting	Dwarven	Markarth	
Dwarven Lamp, Cylinder Cage		Epic	DIagram	Blacksmithing	Lighting	Dwarven	Markarth	
Dwarven Lamppost, Powered		Epic	Formula	Alchemy	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Lantern, Oil		Epic	Formula	Alchemy	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Low Table, Ornate Polished		Epic	DIagram	Blacksmithing	Dining	Dwarven	Markarth	
Dwarven Minecart, Ornate		Legendary	Diagram	Blacksmithing	Courtyard	Dwarven	Flames of Ambition	Master Writ Furnishing
Dwarven Mirror, Polished		Superior	Sketch	Jewelry	Suite	Dwarven	Markarth	
Dwarven Mug, Polished		Fine	DIagram	Blacksmithing	Hearth	Dwarven	Markarth	
Dwarven Nightstand, Granite		Superior	Praxis	Enchanting	Suite	Dwarven	Markarth	
Dwarven Pew, Ornate Polished		Epic	DIagram	Blacksmithing	Dining	Dwarven	Markarth	
Dwarven Pew, Refined		Epic	Diagram	Blacksmithing	Parlor	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipe Cap, Bolted		Fine	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipe, Corner		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipe, Elbow		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipe, Full Column		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipe, Half Column		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipe, Quarter Column		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipeline Cap, Sealed		Fine	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipeline, Column		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipeline, Elbow		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipeline, Full Column		Epic	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pipeline, Junction		Superior	Diagram	Blacksmithing	Workshop	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Plate, Forged		Superior	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Plate, Full Breakfast		Superior	Design	Provisioning	Hearth	Dwarven	Markarth	
Dwarven Plate, Polished		Fine	DIagram	Blacksmithing	Hearth	Dwarven	Markarth	
Dwarven Platform, Steps		Epic	Praxis	Enchanting	Structures	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Pot, Polished		Superior	DIagram	Blacksmithing	Hearth	Dwarven	Markarth	
Dwarven Pot, Sealed		Fine	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Potted Plant, Polished Vase		Superior	DIagram	Blacksmithing	Conservatory	Dwarven	Markarth	
Dwarven Relief, Connected Circles		Epic	DIagram	Blacksmithing	Gallery	Dwarven	Markarth	
Dwarven Relief, Tracks		Superior	DIagram	Blacksmithing	Gallery	Dwarven	Markarth	
Dwarven Sconce, Barred		Epic	Formula	Alchemy	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Sconce, Framework		Superior	Formula	Alchemy	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Sconce, Powered		Epic	Formula	Alchemy	Lighting	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Serving Dish, Vegetable Soup		Epic	Design	Provisioning	Hearth	Dwarven	Markarth	
Dwarven Sideboard, Granite Polished		Epic	DIagram	Blacksmithing	Dining	Dwarven	Markarth	
Dwarven Strainer, Kitchen		Superior	DIagram	Blacksmithing	Hearth	Dwarven	Markarth	
Dwarven Table Lamp, Polished Dome		Superior	DIagram	Blacksmithing	Lighting	Dwarven	Markarth	
Dwarven Table, Assembly		Epic	Praxis	Enchanting	Dining	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Table, Grand Polished		Epic	DIagram	Blacksmithing	Dining	Dwarven	Markarth	
Dwarven Table, Granite		Superior	Praxis	Enchanting	Dining	Dwarven	Markarth	
Dwarven Table, Granite Kitchen		Superior	Praxis	Enchanting	Dining	Dwarven	Markarth	
Dwarven Table, Refined		Epic	Praxis	Enchanting	Dining	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Table, Workbench		Superior	Diagram	Blacksmithing	Dining	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Trunk, Ornate Polished		Epic	DIagram	Blacksmithing	Suite	Dwarven	Markarth	
Dwarven Urn, Sealed		Fine	Diagram	Blacksmithing	Undercroft	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Valve, Disconnected		Superior	Diagram	Blacksmithing	Structures	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Vase, Forged		Superior	Diagram	Blacksmithing	Parlor	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Vessel, Sealed		Superior	Diagram	Blacksmithing	Hearth	Dwarven	Morrowind / Clockwork	Rare Drop In Dwarven Ruins From Mobs
Dwarven Wall Cabinet, Granite		Superior	Praxis	Enchanting	Hearth	Dwarven	Markarth	
Dwarven Wall Lamp, Reachfolk Adorned		Superior	Blueprint	Woodworking	Lighting	Dwarven	Markarth	
Dwarven Wardrobe, Ornate Polished		Epic	DIagram	Blacksmithing	Suite	Dwarven	Markarth	
Elsweyr Altar, Ancient Stone		Superior	Praxis	Enchanting	Undercroft	Elsweyr	Elsweyr	
Elsweyr Armchair, Elegant Wooden		Epic	Blueprint	Woodworking	Dining	Elsweyr	Elsweyr	
Elsweyr Armchair, Low-Backed Elegant		Epic	Blueprint	Woodworking	Dining	Elsweyr	Elsweyr	
Elsweyr Armchair, Low-Backed Wooden		Superior	Blueprint	Woodworking	Dining	Elsweyr	Elsweyr	
Elsweyr Barstool, Elegant Wooden		Epic	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Barstool, Wooden		Superior	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Blue Four-Poster		Epic	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Elegant Double		Epic	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Elegant Single		Epic	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Quilted Double		Superior	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Quilted Single		Superior	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Rumpled Elegant Double		Epic	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Rumpled Elegant Single		Epic	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Rumpled Quilted Double		Epic	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Rumpled Quilted Single		Superior	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bed, Senche-Raht		Legendary	Pattern	Clothing	Suite	Elsweyr	Harrowstorm	
Elsweyr Bed, Yellow Four-Poster		Epic	Pattern	Clothing	Suite	Elsweyr	Elsweyr	
Elsweyr Bench, Wooden		Fine	Blueprint	Woodworking	Dining	Elsweyr	Elsweyr	
Elsweyr Bookshelf, Ancient Stone Full		Epic	Praxis	Enchanting	Library	Elsweyr	Elsweyr	
Elsweyr Bookshelf, Elegant Wooden		Superior	Blueprint	Woodworking	Library	Elsweyr	Elsweyr	
Elsweyr Bookshelf, Elegant Wooden Full		Epic	Blueprint	Woodworking	Library	Elsweyr	Elsweyr	
Elsweyr Bookshelf, Short Elegant		Superior	Blueprint	Woodworking	Library	Elsweyr	Elsweyr	
Elsweyr Bookshelf, Short Elegant Full		Epic	Blueprint	Woodworking	Library	Elsweyr	Elsweyr	
Elsweyr Bookshelf, Wooden		Superior	Blueprint	Woodworking	Library	Elsweyr	Elsweyr	
Elsweyr Bookshelf, Wooden Full		Epic	Blueprint	Woodworking	Library	Elsweyr	Elsweyr	
Elsweyr Bowl, Deep Ceramic		Superior	Design	Provisioning	Hearth	Elsweyr	Elsweyr	
Elsweyr Bowl, Shallow Ceramic		Superior	Design	Provisioning	Hearth	Elsweyr	Elsweyr	
Elsweyr Bowl, Simple		Fine	Blueprint	Woodworking	Hearth	Elsweyr	Elsweyr	
Elsweyr Brazier, Embellished		Superior	Praxis	Enchanting	Lighting	Elsweyr	Elsweyr	
Elsweyr Brazier, Massive		Epic	Praxis	Enchanting	Lighting	Elsweyr	Elsweyr	
Elsweyr Brazier, Ribbed		Superior	Praxis	Enchanting	Lighting	Elsweyr	Elsweyr	
Elsweyr Brazier, Tall		Epic	Praxis	Enchanting	Lighting	Elsweyr	Elsweyr	
Elsweyr Bread Basket, Feast-Day		Legendary	Design	Provisioning	Hearth	Elsweyr	Harrowstorm	Master Writ Furnishing
Elsweyr Bucket, Wooden		Fine	Blueprint	Woodworking	Workshop	Elsweyr	Elsweyr	
Elsweyr Cabinet, Elegant Wooden		Superior	Blueprint	Woodworking	Dining	Elsweyr	Elsweyr	
Elsweyr Cabinet, Wall		Superior	Blueprint	Woodworking	Hearth	Elsweyr	Elsweyr	
Elsweyr Cabinet, Wide Elegant Wooden		Epic	Blueprint	Woodworking	Dining	Elsweyr	Elsweyr	
Elsweyr Cage, Filigree		Legendary	Sketch	Jewelry	Workshop	Elsweyr	Scalebreaker	Master Writ Furnishing
Elsweyr Candle, Column		Epic	Praxis	Enchanting	Lighting	Elsweyr	Elsweyr	
Elsweyr Candle, Saucer		Fine	Design	Provisioning	Lighting	Elsweyr	Elsweyr	
Elsweyr Carpet, Blossoms on Blue		Epic	Pattern	Clothing	Parlor	Elsweyr	Elsweyr	
Elsweyr Carpet, Botanical Grand		Epic	Pattern	Clothing	Parlor	Elsweyr	Elsweyr	
Elsweyr Carpet, Chaotic Symmetry		Superior	Pattern	Clothing	Parlor	Elsweyr	Elsweyr	
Elsweyr Carpet, Gold-Emerald		Fine	Pattern	Clothing	Parlor	Elsweyr	Elsweyr	
Elsweyr Carpet, Gold-Ruby		Fine	Pattern	Clothing	Parlor	Elsweyr	Elsweyr	
