Name	Quality	Category	Resin	Wax	Ochre	Rune	Wood	Regulus	Bast	Pelt	Patch	Mat Sum
Deadlands Stairway, Outer Corner	fine	Structures				5.0					Deadlands	5.0
Deadlands Stairway, Wide	superior	Structures				9.0		6.0			Deadlands	15.0
Deadlands Table, Ashen	superior	Dining	6.0				9.0				Blackwood	15.0
Deadlands Table, Ashen Wide	superior	Dining	6.0				9.0				Blackwood	15.0
Deadlands Table, Etched	superior	Dining					9.0		6.0		Deadlands	15.0
Deadlands Table, Long Etched	epic	Dining			6.0		13.0		10.0		Deadlands	29.0
Deadlands Tapestry	superior	Parlor					6.0		9.0		Deadlands	15.0
Deadlands Tapestry, Long	superior	Parlor					6.0		9.0		Deadlands	15.0
Deadlands Tenderizer	superior	Undercroft			5.0			9.0			Deadlands	14.0
Deadlands Torture Rack	legendary	Undercroft		9.0		15.0	13.0	15.0			Waking Flame	52.0
Deadlands Torture Table, Etched	superior	Undercroft			5.0			9.0			Deadlands	14.0
Deadlands Urn, Inscribed	superior	Undercroft				6.0		9.0			Blackwood	15.0
Deadlands Wall Spikes	fine	Lighting						5.0			Deadlands	5.0
Deadlands Wall, Short	fine	Structures				5.0					Deadlands	5.0
Deadlands Wall, Short Curved	fine	Structures				5.0					Deadlands	5.0
Deadlands Wall, Tall	superior	Structures				9.0		6.0			Deadlands	15.0
Deadlands Wall, Wide	epic	Structures	7.0			13.0		10.0			Deadlands	30.0
Deadlands Wardrobe, Ashen	superior	Suite					9.0	6.0			Blackwood	15.0
Deadlands, Brazier, Bladed	superior	Lighting				6.0		9.0				15.0
Desk, Engraved	superior	Library	6.0			9.0	12.0	6.0			Homestead	33.0
Display Case, Large	epic	Gallery	9.0	6.0		6.0	13.0				Summerset	34.0
Display Case, Specimen	epic	Gallery	6.0	8.0		6.0	12.0				Summerset	32.0
Display Case, Standing	epic	Gallery	7.0	7.0		7.0	13.0				Summerset	34.0
Display Case, Standing Arched	epic	Gallery	7.0	7.0		6.0	12.0				Summerset	32.0
Dragonfruit, Wax	fine	Hearth		4.0							Murkmire	4.0
Dres Bowl, Dinner	fine	Hearth		5.0			3.0				Morrowind / Clockwork	8.0
Dres Bowl, Empty	superior	Hearth		7.0			5.0				Morrowind / Clockwork	12.0
Dres Bowl, Saltrice Mash	superior	Hearth		8.0			6.0				Morrowind / Clockwork	14.0
Dres Bowl, Serving	fine	Hearth		5.0			3.0				Morrowind / Clockwork	8.0
Dres Candles, Meditation	superior	Lighting	5.0	7.0							Morrowind / Clockwork	12.0
Dres Cannister, Portable	fine	Hearth						5.0			Morrowind / Clockwork	5.0
Dres Carpet, Chains	fine	Parlor							6.0		Morrowind / Clockwork	6.0
Dres Carpet, Fertile Peat	superior	Parlor	5.0	5.0					9.0		Morrowind / Clockwork	19.0
Dres Cauldron, Floral Banded	superior	Hearth				6.0		9.0			Morrowind / Clockwork	15.0
Dres Censer, Chains	superior	Undercroft	9.0			5.0		5.0			Morrowind / Clockwork	19.0
Dres Cup, Empty Greef	superior	Hearth		8.0		5.0					Morrowind / Clockwork	13.0
Dres Cup, Empty Mazte	fine	Hearth		5.0							Morrowind / Clockwork	5.0
Dres Cup, Empty Sujamma	epic	Hearth		10.0		9.0	6.0				Morrowind / Clockwork	25.0
Dres Cup, Greef	superior	Hearth		9.0		6.0					Morrowind / Clockwork	15.0
Dres Cup, Mazte	fine	Hearth		5.0							Morrowind / Clockwork	5.0
Dres Cup, Sujamma	epic	Hearth		10.0		9.0	7.0				Morrowind / Clockwork	26.0
Dres Divider, Chains	epic	Suite		6.0			12.0	6.0	8.0		Morrowind / Clockwork	32.0
Dres Divider, Honeycomb	epic	Suite		6.0			12.0	6.0	8.0		Morrowind / Clockwork	32.0
Dres Divider, Screen	epic	Suite		6.0			12.0	8.0	6.0		Morrowind / Clockwork	32.0
Dres Incense Stand, Chains	epic	Undercroft	11.0			7.0		8.0			Morrowind / Clockwork	26.0
Dres Jar, Stoneflower	superior	Hearth	6.0			9.0					Morrowind / Clockwork	15.0
Dres Lamp, Portable	fine	Lighting	5.0					3.0			Morrowind / Clockwork	8.0
Dres Lantern, Stationary	fine	Lighting	6.0					3.0			Morrowind / Clockwork	9.0
Dres Pot, Sauce	fine	Hearth						6.0			Morrowind / Clockwork	6.0
Dres Rug, Chains	epic	Parlor	9.0			7.0			12.0		Morrowind / Clockwork	28.0
Dres Runner, Chains	epic	Parlor	9.0			6.0			11.0		Morrowind / Clockwork	26.0
Dres Sewing Kit, Master's	legendary	Workshop				9.0	9.0	13.0	15.0		Morrowind / Clockwork	46.0
Dres Shelf, Block	fine	Library					5.0				Morrowind / Clockwork	5.0
Dres Sideboard, Display	superior	Hearth				5.0	7.0				Morrowind / Clockwork	12.0
Dres Table, Kitchen	superior	Dining	5.0			5.0	9.0				Morrowind / Clockwork	19.0
Dres Tapestry, Vines	superior	Parlor	6.0						9.0		Morrowind / Clockwork	15.0
Dres Teapot, Ceramic	superior	Hearth		5.0		9.0		5.0			Morrowind / Clockwork	19.0
Dres Trestle, Corridor	superior	Dining	5.0				8.0				Morrowind / Clockwork	13.0
Drumstick	superior	Hearth		8.0							Homestead	8.0
Dwarven Altar, Stairs	epic	Structures	6.0			11.0		9.0			Morrowind / Clockwork	26.0
Dwarven Amphora, Ornate Polished	epic	Hearth			7.0	7.0		13.0			Markarth	27.0
Dwarven Amphora, Sealed	superior	Hearth	5.0			9.0		5.0			Morrowind / Clockwork	19.0
Dwarven Basin, Forged	superior	Undercroft				8.0		5.0			Morrowind / Clockwork	13.0
Dwarven Bed, Reach Furs	superior	Suite						6.0	9.0		Markarth	15.0
Dwarven Bed, Reach Furs Canopy	epic	Suite						10.0	13.0	7.0	Markarth	30.0
Dwarven Bed, Reach Furs Double	epic	Suite						10.0	13.0	7.0	Markarth	30.0
Dwarven Bench, Forged	superior	Dining				6.0		8.0			Morrowind / Clockwork	14.0
Dwarven Bench, Ornate Granite	superior	Dining			5.0	9.0					Markarth	14.0
Dwarven Boiler, Central	epic	Structures	6.0			11.0		13.0			Morrowind / Clockwork	30.0
Dwarven Bookcase, Full	epic	Library	6.0			11.0		9.0			Morrowind / Clockwork	26.0
Dwarven Bookcase, Granite	superior	Library				9.0	6.0				Markarth	15.0
Dwarven Bookcase, Granite Filled	epic	Library			6.0	13.0	10.0				Markarth	29.0
Dwarven Bowl, Forged	superior	Hearth		7.0				9.0			Morrowind / Clockwork	16.0
Dwarven Bowl, Forged Serving	superior	Hearth	5.0	5.0				9.0			Morrowind / Clockwork	19.0
Dwarven Brazier, Square Polished	epic	Lighting				7.0	10.0	13.0			Markarth	30.0
Dwarven Cage, Polished Specimen	superior	Workshop			6.0	6.0					Markarth	12.0
Dwarven Candles, Cup	superior	Lighting		9.0				5.0			Morrowind / Clockwork	14.0
Dwarven Candles, Plate	superior	Lighting	5.0	5.0				9.0			Morrowind / Clockwork	19.0
Dwarven Candlestick, Laboratory	epic	Lighting	6.0	10.0		7.0		7.0			Morrowind / Clockwork	30.0
Dwarven Candlestick, Orrery	epic	Lighting	6.0	10.0		8.0		6.0			Morrowind / Clockwork	30.0
Dwarven Candlestick, Polished	fine	Lighting						5.0			Markarth	5.0
Dwarven Cannister, Sealed	fine	Hearth						5.0			Morrowind / Clockwork	5.0
Dwarven Chair, Ornate Polished	superior	Dining				6.0		9.0			Markarth	15.0
Dwarven Chandelier, Barred	epic	Lighting	8.0			7.0		11.0			Morrowind / Clockwork	26.0
Dwarven Chandelier, Braced	epic	Lighting	7.0			8.0		11.0			Morrowind / Clockwork	26.0
Dwarven Chandelier, Caged	epic	Lighting	9.0			6.0		11.0			Morrowind / Clockwork	26.0
Dwarven Chandelier, Framework	superior	Lighting	5.0			5.0		8.0			Morrowind / Clockwork	18.0
Dwarven Cooking Implements, Hanging	superior	Hearth					6.0	9.0			Markarth	15.0
Dwarven Corner Bench, Ornate Polished	epic	Dining				10.0	7.0	13.0			Markarth	30.0
Dwarven Corner Shelf, Granite	fine	Library				5.0					Markarth	5.0
Dwarven Counter, Granite	epic	Dining	7.0			13.0		10.0			Markarth	30.0
Dwarven Crystal Sconce, Mirror	legendary	Lighting	10.0		10.0	15.0		13.0			Flames of Ambition	48.0
Dwarven Desk, Ornate Polished	epic	Library	7.0			10.0		13.0			Markarth	30.0
Dwarven Dinner Bowl, Hearty Stew	superior	Hearth		7.0				6.0			Markarth	13.0
Dwarven Divider, Ornate Granite	superior	Suite				9.0		6.0			Markarth	15.0
Dwarven Divider, Ornate Polished	epic	Suite				10.0	7.0	13.0			Markarth	30.0
Dwarven Dresser, Granite	superior	Suite				9.0		6.0			Markarth	15.0
Dwarven End Table, Columnar Granite	superior	Dining				9.0		6.0			Markarth	15.0
Dwarven Engine, Boiler	superior	Workshop	5.0			7.0		9.0			Morrowind / Clockwork	21.0
Dwarven Engine, Fan	epic	Workshop	6.0			10.0		12.0			Morrowind / Clockwork	28.0
Dwarven Engine, Switch	epic	Workshop	6.0			11.0		13.0			Morrowind / Clockwork	30.0
Dwarven Engine, Turbine	epic	Workshop	6.0			11.0		13.0			Morrowind / Clockwork	30.0
Dwarven Goblet, Forged	superior	Hearth				5.0		8.0			Morrowind / Clockwork	13.0
Dwarven Gyroscope, Masterwork	legendary	Workshop	11.0			13.0		15.0			Morrowind / Clockwork	39.0
Dwarven Jar, Sealed	superior	Hearth	5.0	5.0				9.0			Morrowind / Clockwork	19.0
Dwarven Jug, Sealed	superior	Hearth		5.0		5.0		9.0			Morrowind / Clockwork	19.0
Dwarven Kettle, Ornate Polished	epic	Hearth	7.0			10.0		13.0			Markarth	30.0
Dwarven Lamp, Conal Frustum Cage	epic	Lighting			6.0	10.0		13.0			Markarth	29.0
Dwarven Lamp, Cylinder Cage	epic	Lighting			6.0	10.0		13.0			Markarth	29.0
Dwarven Lamppost, Powered	epic	Lighting	12.0	5.0		7.0		8.0			Morrowind / Clockwork	32.0
Dwarven Lantern, Oil	epic	Lighting	11.0	6.0		6.0		7.0			Morrowind / Clockwork	30.0
Dwarven Low Table, Ornate Polished	epic	Dining	7.0			10.0		13.0			Markarth	30.0
Dwarven Minecart, Ornate	legendary	Courtyard			10.0	13.0	11.0	15.0			Flames of Ambition	49.0
Dwarven Mirror, Polished	superior	Suite			6.0			6.0			Markarth	12.0
Dwarven Mug, Polished	fine	Hearth						5.0			Markarth	5.0
Dwarven Nightstand, Granite	superior	Suite				9.0		6.0			Markarth	15.0
Dwarven Pew, Ornate Polished	epic	Dining			6.0	10.0		13.0			Markarth	29.0
Dwarven Pew, Refined	epic	Parlor	6.0			10.0		12.0			Morrowind / Clockwork	28.0
Dwarven Pipe Cap, Bolted	fine	Workshop				4.0		6.0			Morrowind / Clockwork	10.0
Dwarven Pipe, Corner	superior	Workshop				7.0		9.0			Morrowind / Clockwork	16.0
Dwarven Pipe, Elbow	superior	Workshop				6.0		8.0			Morrowind / Clockwork	14.0
Dwarven Pipe, Full Column	superior	Workshop				7.0		9.0			Morrowind / Clockwork	16.0
Dwarven Pipe, Half Column	superior	Workshop				6.0		8.0			Morrowind / Clockwork	14.0
Dwarven Pipe, Quarter Column	superior	Workshop				5.0		8.0			Morrowind / Clockwork	13.0
Dwarven Pipeline Cap, Sealed	fine	Workshop				3.0		5.0			Morrowind / Clockwork	8.0
Dwarven Pipeline, Elbow	superior	Workshop	4.0			5.0		8.0			Morrowind / Clockwork	17.0
Dwarven Pipeline, Full Column	epic	Workshop	6.0			9.0		11.0			Morrowind / Clockwork	26.0
Dwarven Pipeline, Junction	superior	Workshop	5.0			6.0		9.0			Morrowind / Clockwork	20.0
Dwarven Plate, Forged	superior	Hearth		5.0		5.0		9.0			Morrowind / Clockwork	19.0
Dwarven Plate, Full Breakfast	superior	Hearth		7.0				6.0			Markarth	13.0
Dwarven Plate, Polished	fine	Hearth						5.0			Markarth	5.0
Dwarven Platform, Steps	epic	Structures	6.0			11.0		9.0			Morrowind / Clockwork	26.0
Dwarven Pot, Polished	superior	Hearth				6.0		9.0			Markarth	15.0
Dwarven Pot, Sealed	fine	Hearth						5.0			Morrowind / Clockwork	5.0
Dwarven Potted Plant, Polished Vase	superior	Conservatory					6.0	9.0			Markarth	15.0
Dwarven Relief, Connected Circles	epic	Gallery	7.0			10.0		13.0			Markarth	30.0
Dwarven Relief, Tracks	superior	Gallery				6.0		9.0			Markarth	15.0
Dwarven Sconce, Barred	epic	Lighting	11.0			7.0		8.0			Morrowind / Clockwork	26.0
Dwarven Sconce, Framework	superior	Lighting	8.0					6.0			Morrowind / Clockwork	14.0
Dwarven Sconce, Powered	epic	Lighting	11.0	5.0		6.0		8.0			Morrowind / Clockwork	30.0
Dwarven Serving Dish, Vegetable Soup	epic	Hearth	7.0	10.0				10.0			Markarth	27.0
Dwarven Sideboard, Granite Polished	epic	Dining			6.0	10.0		13.0			Markarth	29.0
Dwarven Strainer, Kitchen	superior	Hearth						9.0	6.0		Markarth	15.0
Dwarven Table Lamp, Polished Dome	superior	Lighting			5.0			9.0			Markarth	14.0
Dwarven Table, Assembly	epic	Dining	6.0			11.0		9.0			Morrowind / Clockwork	26.0
Dwarven Table, Grand Polished	epic	Dining	7.0			10.0		13.0			Markarth	30.0
Dwarven Table, Granite	superior	Dining				9.0		6.0			Markarth	15.0
Dwarven Table, Granite Kitchen	superior	Dining				9.0		6.0			Markarth	15.0
Dwarven Table, Refined	epic	Dining	6.0			12.0		10.0			Morrowind / Clockwork	28.0
Dwarven Table, Workbench	superior	Dining				7.0		9.0			Morrowind / Clockwork	16.0
Dwarven Trunk, Ornate Polished	epic	Suite				10.0	7.0	13.0			Markarth	30.0
Dwarven Urn, Sealed	fine	Undercroft						5.0			Morrowind / Clockwork	5.0
Dwarven Valve, Disconnected	superior	Structures				5.0		8.0			Morrowind / Clockwork	13.0
Dwarven Vase, Forged	superior	Parlor		5.0				8.0			Morrowind / Clockwork	13.0
Dwarven Vessel, Sealed	superior	Hearth		7.0				9.0			Morrowind / Clockwork	16.0
Dwarven Wall Cabinet, Granite	superior	Hearth				9.0	6.0				Markarth	15.0
Dwarven Wall Lamp, Reachfolk Adorned	superior	Lighting					9.0	6.0			Markarth	15.0
Dwarven Wardrobe, Ornate Polished	epic	Suite				7.0	10.0				Markarth	17.0
Elsweyr Altar, Ancient Stone	superior	Undercroft				9.0		6.0			Elsweyr	15.0
Elsweyr Armchair, Elegant Wooden	epic	Dining	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Armchair, Low-Backed Elegant	epic	Dining	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Armchair, Low-Backed Wooden	superior	Dining	5.0		4.0		10.0				Elsweyr	19.0
Elsweyr Barstool, Elegant Wooden	epic	Workshop			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Barstool, Wooden	superior	Workshop					6.0		9.0		Elsweyr	15.0
Elsweyr Bed, Blue Four-Poster	epic	Suite	7.0				10.0		13.0		Elsweyr	30.0
Elsweyr Bed, Elegant Double	epic	Suite			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Bed, Elegant Single	epic	Suite			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Bed, Quilted Double	superior	Suite	5.0				5.0		10.0		Elsweyr	20.0
Elsweyr Bed, Quilted Single	superior	Suite					6.0		9.0		Elsweyr	15.0
Elsweyr Bed, Rumpled Elegant Double	epic	Suite			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Bed, Rumpled Elegant Single	epic	Suite			6.0		10.0		13.0		Elsweyr	29.0
Elsweyr Bed, Rumpled Quilted Double	epic	Suite	7.0				10.0		13.0		Elsweyr	30.0
Elsweyr Bed, Rumpled Quilted Single	superior	Suite					6.0		9.0		Elsweyr	15.0
Elsweyr Bed, Senche-Raht	legendary	Suite		9.0	9.0		15.0		15.0		Harrowstorm	48.0
Elsweyr Bed, Yellow Four-Poster	epic	Suite	7.0				10.0		13.0		Elsweyr	30.0
Elsweyr Bench, Wooden	fine	Dining	4.0				5.0				Elsweyr	9.0
Elsweyr Bookshelf, Ancient Stone Full	epic	Library	7.0			13.0			10.0		Elsweyr	30.0
Elsweyr Bookshelf, Elegant Wooden	superior	Library			5.0		9.0				Elsweyr	14.0
Elsweyr Bookshelf, Elegant Wooden Full	epic	Library	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Bookshelf, Short Elegant	superior	Library			5.0		9.0				Elsweyr	14.0
Elsweyr Bookshelf, Short Elegant Full	epic	Library	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Bookshelf, Wooden	superior	Library	6.0				9.0				Elsweyr	15.0
Elsweyr Bookshelf, Wooden Full	epic	Library	9.0		6.0		13.0				Elsweyr	28.0
Elsweyr Bowl, Deep Ceramic	superior	Hearth		7.0			6.0				Elsweyr	13.0
Elsweyr Bowl, Shallow Ceramic	superior	Hearth		7.0	5.0						Elsweyr	12.0
Elsweyr Bowl, Simple	fine	Hearth					5.0				Elsweyr	5.0
Elsweyr Brazier, Embellished	superior	Lighting			4.0	10.0		5.0			Elsweyr	19.0
Elsweyr Brazier, Massive	epic	Lighting			6.0	13.0		10.0			Elsweyr	29.0
Elsweyr Brazier, Ribbed	superior	Lighting	5.0			10.0		5.0			Elsweyr	20.0
Elsweyr Brazier, Tall	epic	Lighting			6.0	13.0		10.0			Elsweyr	29.0
Elsweyr Bread Basket, Feast-Day	legendary	Hearth	12.0	11.0			15.0				Harrowstorm	38.0
Elsweyr Bucket, Wooden	fine	Workshop					5.0				Elsweyr	5.0
Elsweyr Cabinet, Elegant Wooden	superior	Hearth	5.0			5.0	10.0				Elsweyr	20.0
Elsweyr Cabinet, Wall	superior	Hearth			5.0		9.0				Elsweyr	14.0
Elsweyr Cabinet, Wide Elegant Wooden	epic	Dining	7.0			10.0	13.0				Elsweyr	30.0
Elsweyr Cage, Filigree	legendary	Workshop	12.0	9.0	10.0			15.0			Scalebreaker	46.0
Elsweyr Candle, Column	epic	Lighting	7.0	8.0		13.0					Elsweyr	28.0
Elsweyr Candle, Saucer	fine	Lighting		4.0			4.0				Elsweyr	8.0
Elsweyr Carpet, Blossoms on Blue	epic	Parlor	9.0	6.0					13.0		Elsweyr	28.0
Elsweyr Carpet, Botanical Grand	epic	Parlor	7.0			10.0			13.0		Elsweyr	30.0
Elsweyr Carpet, Chaotic Symmetry	superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
Elsweyr Carpet, Gold-Emerald	fine	Parlor	4.0						5.0		Elsweyr	9.0
Elsweyr Carpet, Gold-Ruby	fine	Parlor	4.0						5.0		Elsweyr	9.0
Elsweyr Carpet, Sandflowers	epic	Parlor	9.0		6.0				13.0		Elsweyr	28.0
Elsweyr Cart, Masterwork	legendary	Courtyard	12.0		8.0		15.0	15.0			Scalebreaker	50.0
Elsweyr Chaise Lounge, Upholstered	legendary	Parlor	12.0		8.0		15.0		15.0		Scalebreaker	50.0
Elsweyr Chest, Red Gilded	epic	Suite			7.0	7.0	13.0				Elsweyr	27.0
Elsweyr Column, Stone Support	superior	Courtyard				9.0		6.0			Elsweyr	15.0
Elsweyr Couch, Elegant Wooden	epic	Parlor	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Couch, Wooden	superior	Parlor	6.0				9.0				Elsweyr	15.0
Elsweyr Cup of Rice, Gilded	superior	Hearth		5.0	6.0						Elsweyr	11.0
Elsweyr Cupboard, Elegant Wooden	epic	Hearth		6.0	7.0		13.0				Elsweyr	26.0
Elsweyr Curtains, Flat Panel Maroon	superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
Elsweyr Curtains, Tied-Back Blue	superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
Elsweyr Curtains, Wide Maroon	epic	Parlor	7.0		7.0				13.0		Elsweyr	27.0
Elsweyr Desk, Elegant Wooden	epic	Library	9.0		6.0		13.0				Elsweyr	28.0
Elsweyr Desk, Wooden	superior	Library		5.0			10.0	5.0			Elsweyr	20.0
Elsweyr Fabric, Hanging	superior	Workshop	6.0						9.0		Elsweyr	15.0
Elsweyr Fabric, Hanging Cluster	superior	Workshop	6.0						9.0		Elsweyr	15.0
Elsweyr Fish, Displayed	superior	Hearth	6.0	7.0							Elsweyr	13.0
Elsweyr Floor, Masonry	superior	Structures	5.0	5.0		10.0					Elsweyr	20.0
Elsweyr Foot Bridge, Masonry	superior	Structures	5.0	5.0		10.0					Elsweyr	20.0
Elsweyr Fountain, Four Lions	epic	Courtyard	9.0		6.0	13.0					Elsweyr	28.0
Elsweyr Game, Swan Stones	legendary	Parlor		9.0	10.0	13.0	15.0				Harrowstorm	47.0
Elsweyr Gate, Masterwork	legendary	Structures	10.0		10.0	13.0		15.0			Scalebreaker	48.0
Elsweyr Gong, Ornate	legendary	Parlor			9.0		15.0	15.0		11.0	Harrowstorm	50.0
Elsweyr Gravy Boat, Gilded	superior	Hearth	5.0	5.0	7.0						Elsweyr	17.0
Elsweyr Half-Rug, Sandflowers	superior	Parlor	5.0	5.0					10.0		Elsweyr	20.0
Elsweyr Incense Burner, Branched Brass	epic	Undercroft	9.0		9.0	7.0					Elsweyr	25.0
Elsweyr Incense Burner, Tall Brass	superior	Undercroft	5.0		7.0	5.0					Elsweyr	17.0
Elsweyr Incense, Fragrant	legendary	Undercroft	13.0	9.0	10.0		13.0				Scalebreaker	45.0
Elsweyr Lantern, Hanging Twist	superior	Lighting			5.0	9.0					Elsweyr	14.0
Elsweyr Lantern, Metal Ring	superior	Lighting			6.0	6.0					Elsweyr	12.0
Elsweyr Lantern, Twist	superior	Lighting			6.0	6.0					Elsweyr	12.0
Elsweyr Lightpost, Ancient Stone	superior	Lighting	5.0		4.0	10.0					Elsweyr	19.0
Elsweyr Lightpost, Ancient Sturdy	epic	Lighting	9.0			13.0		7.0			Elsweyr	29.0
Elsweyr Lightpost, Ancient Tall	epic	Lighting	9.0			13.0		7.0			Elsweyr	29.0
Elsweyr Meal, Hearty Noodles	superior	Hearth		5.0			9.0				Elsweyr	14.0
Elsweyr Meal, Roasted Chicken Pieces	fine	Hearth	4.0	4.0							Elsweyr	8.0
Elsweyr Meal, Root Vegetables	superior	Hearth	5.0	8.0	4.0						Elsweyr	17.0
Elsweyr Meal, Sweet Stew	fine	Hearth		4.0			5.0				Elsweyr	9.0
Elsweyr Meal, Whole Roasted Chicken	epic	Hearth		8.0	6.0		13.0				Elsweyr	27.0
Elsweyr Monument, Ancient Stone Broken	epic	Courtyard	7.0			13.0		10.0			Elsweyr	30.0
Elsweyr Mortar and Pestle, Engraved	legendary	Workshop	13.0	10.0	8.0			15.0			Harrowstorm	46.0
Elsweyr Nightstand, Elegant Wooden	epic	Suite	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Nightstand, Octagonal Wooden	epic	Suite		8.0			13.0	7.0			Elsweyr	28.0
Elsweyr Nightstand, Wooden	superior	Suite		5.0			9.0				Elsweyr	14.0
Elsweyr Pillar, Ancient Stone	superior	Courtyard	6.0			9.0					Elsweyr	15.0
Elsweyr Plate, Rough	fine	Hearth		4.0							Elsweyr	4.0
Elsweyr Plate, Umber Ceramic	epic	Hearth		8.0	6.0		13.0				Elsweyr	27.0
Elsweyr Platform, Ancient Rectangular	epic	Structures		8.0	6.0	13.0					Scalebreaker	27.0
Elsweyr Platform, Ancient Square	superior	Structures		5.0		9.0					Scalebreaker	14.0
Elsweyr Platform, Stepped	superior	Structures		5.0		9.0					Elsweyr	14.0
Elsweyr Platform, Wooden Large	fine	Structures					5.0	4.0			Elsweyr	9.0
Elsweyr Platform, Wooden Small	fine	Structures					5.0				Elsweyr	5.0
Elsweyr Plinth, Ancient Stone	fine	Structures	4.0			5.0					Elsweyr	9.0
Elsweyr Post, Masonry Wall	fine	Courtyard		4.0		5.0					Elsweyr	9.0
Elsweyr Pot, Cerulean	superior	Hearth	6.0			9.0					Elsweyr	15.0
Elsweyr Pot, Floral	superior	Hearth		5.0		9.0					Elsweyr	14.0
Elsweyr Pot, Ornate	fine	Hearth				5.0					Elsweyr	5.0
Elsweyr Pot, Stoneware	fine	Hearth	4.0	4.0							Elsweyr	8.0
Elsweyr Pot, Tall	epic	Hearth	7.0	8.0		13.0					Elsweyr	28.0
Elsweyr Pot, Waves	fine	Hearth				5.0					Elsweyr	5.0
Elsweyr Room-Divider, Elegant	epic	Suite			7.0	7.0	13.0				Elsweyr	27.0
Elsweyr Rug, Sandflowers	epic	Parlor	9.0	6.0					13.0		Elsweyr	28.0
Elsweyr Runner, Autumn Vines	superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
Elsweyr Runner, Lavish Floral	superior	Parlor	5.0	5.0					10.0		Elsweyr	20.0
Elsweyr Sand Meditation Ring, Large	superior	Conservatory	6.0			9.0					Elsweyr	15.0
Elsweyr Sand Meditation Ring, Small	fine	Conservatory	4.0			5.0					Elsweyr	9.0
Elsweyr Sarcophagus Lid, Ancient	superior	Undercroft	6.0			9.0					Elsweyr	15.0
Elsweyr Sarcophagus, Ancient	superior	Undercroft	6.0			9.0					Elsweyr	15.0
Elsweyr Sconce, Candle Carved	superior	Lighting		7.0			6.0				Elsweyr	13.0
Elsweyr Sconce, Candle Elegant	superior	Lighting		7.0			6.0				Elsweyr	13.0
Elsweyr Sconce, Candle Engraved	superior	Lighting		7.0	5.0						Elsweyr	12.0
Elsweyr Sconce, Candle Shielded	superior	Lighting		7.0		6.0					Elsweyr	13.0
Elsweyr Shelf, Elegant Wall	superior	Library			5.0		9.0				Elsweyr	14.0
Elsweyr Shrine, Ancient Large	epic	Undercroft		7.0	6.0	13.0					Scalebreaker	26.0
Elsweyr Shrine, Ancient Multilevel	superior	Undercroft		5.0	4.0	10.0					Scalebreaker	19.0
Elsweyr Shrine, Ancient Small	superior	Undercroft			5.0	9.0					Scalebreaker	14.0
Elsweyr Spice Display, Matcha Green	fine	Hearth		4.0			4.0				Elsweyr	8.0
Elsweyr Spice Display, Saffron Red	fine	Hearth		4.0			4.0				Elsweyr	8.0
Elsweyr Spice Display, Turmeric Yellow	fine	Hearth		4.0			4.0				Elsweyr	8.0
Elsweyr Spire, Decorative	superior	Courtyard	5.0			10.0		5.0			Elsweyr	20.0
Elsweyr Stairs, Masonry	superior	Structures	5.0	5.0		10.0					Elsweyr	20.0
Elsweyr Stall Counter, Single	superior	Dining			5.0		9.0				Elsweyr	14.0
Elsweyr Stall Counter, Triple	epic	Dining			7.0		13.0	7.0			Elsweyr	27.0
Elsweyr Statue, Shrine Lion	legendary	Courtyard	13.0	9.0	9.0	15.0					Scalebreaker	46.0
Elsweyr Steamer, Ceramic	superior	Hearth	5.0	8.0			5.0				Elsweyr	18.0
Elsweyr Steaming Pot, Ceramic	epic	Hearth	7.0	8.0	9.0						Elsweyr	24.0
Elsweyr Streetlight, Inlaid Stone	superior	Lighting	5.0		4.0	10.0					Elsweyr	19.0
Elsweyr Sugar Bowl, Gilded	superior	Hearth	6.0		6.0						Elsweyr	12.0
Elsweyr Sugar Pipe, Gilded	epic	Parlor	9.0		9.0	7.0					Elsweyr	25.0
Elsweyr Table, Elegant Wooden	epic	Dining	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Table, Long Wooden	epic	Dining		8.0	6.0		13.0				Elsweyr	27.0
Elsweyr Table, Low	superior	Dining	5.0	5.0			10.0				Elsweyr	20.0
Elsweyr Table, Low Square	superior	Dining	5.0	5.0			10.0				Elsweyr	20.0
Elsweyr Table, Square	superior	Dining		5.0			9.0				Elsweyr	14.0
Elsweyr Table, Wide	superior	Dining		5.0			10.0	5.0			Elsweyr	20.0
Elsweyr Table, Wide Elegant Wooden	epic	Dining	7.0		7.0		13.0				Elsweyr	27.0
Elsweyr Tapestry, Amber Vines	superior	Parlor	5.0		4.0				10.0		Elsweyr	19.0
